Id;RTK [m n.p.m];ALS [m n.p.m];Różnica [m];Błąd [m]
1;95,68;95,32;0,36;0,36
2;95,7;95,68;0,02;0,02
3;95,56;95,48;0,08;0,08
4;95,77;95,79;-0,02;0,02
5;95,59;95,9;-0,31;0,31
6;95,76;95,63;0,14;0,14
7;95,74;95,75;-0,01;0,01
8;95,43;95,16;0,26;0,26
9;95,42;95,27;0,15;0,15
10;95,61;95,63;-0,01;0,01
11;95,59;95,52;0,07;0,07
12;95,56;95,45;0,11;0,11
13;95,25;95,11;0,14;0,14
14;95,71;95,99;-0,28;0,28
15;95,64;95,83;-0,19;0,19
16;95,27;95,04;0,23;0,23
17;95,59;95,56;0,03;0,03
18;95,53;95,61;-0,08;0,08
19;95,43;95,44;-0,01;0,01
20;95,47;95,54;-0,07;0,07
21;95,24;95,24;0,01;0,01
22;95,31;95,44;-0,13;0,13
23;95,3;95,34;-0,04;0,04
24;95,18;95,19;-0,01;0,01
25;94,68;94,51;0,17;0,17
26;95,05;95,29;-0,24;0,24
27;94,86;94,98;-0,11;0,11
28;94,7;94,73;-0,03;0,03
29;94,5;94,49;0,01;0,01
30;94,39;94,39;0;0
31;94,02;93,95;0,07;0,07
32;94,48;94,4;0,08;0,08
33;93,65;93,6;0,04;0,04
34;93,98;93,98;0;0
35;93,96;94,22;-0,25;0,25
36;93,94;94,2;-0,26;0,26
37;93,91;93,82;0,1;0,1
38;94,07;94,15;-0,08;0,08
39;94,14;94,13;0,02;0,02
40;94,21;94,26;-0,05;0,05
41;94,22;94,23;-0,02;0,02
42;94,03;94,37;-0,34;0,34
43;94,05;93,87;0,18;0,18
Średni błąd [m];;;;0,11
